TargetID	cd1.AVG_Signal	cd2.AVG_Signal	cd3.AVG_Signal	gat1.AVG_Signal	gat2.AVG_Signal	gat3.AVG_Signal
MBD6	3.7	4.8	5.9	5.4	5.0	4.7
MBIP	52.6	41.9	32.5	19.7	20.9	27.6
MBL1	0.0	0.0	0.0	0.0	0.0	0.0
MBL2	2.9	0.0	3.8	0.0	0.0	0.0
MBNL	0.5	2.5	9.3	7.3	2.0	3.8
MBNL1	1496.0	1650.3	1835.6	967.6	1210.1	1282.4
MBNL2	238.4	160.3	198.3	223.1	298.6	183.0
MBNL3	0.0	0.9	0.0	0.0	0.0	0.0
MBOAT1	26.7	52.7	15.5	18.9	57.8	22.0
MBOAT2	0.9	2.0	0.3	11.3	2.6	1.8
MBOAT4	2.9	0.7	0.1	1.1	5.2	2.2
MBP	67.7	63.3	42.7	46.1	65.0	51.3
MBTD1	39.3	31.9	51.8	15.2	32.6	31.3
MBTPS1	50.2	44.0	59.7	26.7	31.9	43.5
MBTPS2	3.2	2.7	0.0	1.3	0.4	2.0
MC1R	0.0	0.0	1.7	0.0	0.0	0.9
MC2R	0.0	2.3	0.0	0.2	0.0	0.0
MC3R	0.0	2.2	1.7	0.0	4.1	0.0
MC4R	0.0	0.6	0.2	0.0	0.0	1.8
MC5R	1.8	1.1	0.0	1.0	4.7	1.8
MCAM	6.9	6.8	5.9	3.9	6.0	5.1
MCART1	0.0	8.6	3.1	0.0	5.1	1.9
MCART6	26.4	21.4	13.7	9.8	5.6	12.9
MCAT	74.4	71.0	92.1	88.8	76.6	103.0
MCC	0.0	0.8	1.8	0.0	0.0	0.0
MCCC1	2.0	3.4	6.0	5.0	2.8	6.1
MCCC2	12.4	11.0	8.9	14.0	5.2	13.7
MCEE	86.2	164.7	134.9	219.4	425.7	224.3
MCF2	0.3	0.0	0.0	0.0	0.0	0.0
MCF2L	0.1	2.8	0.2	1.4	28.1	2.5
MCFD2	19.9	27.1	30.2	55.7	57.7	42.3
MCHR1	0.0	1.1	0.6	1.1	0.7	0.0
MCL1	668.1	733.9	1048.5	748.2	1268.4	1517.7
MCM10	19.0	48.6	27.6	171.8	181.6	51.7
MCM2	149.7	206.7	99.3	335.3	322.3	149.7
MCM3	33.3	54.6	34.2	75.4	86.9	40.3
MCM3AP	2.9	0.0	0.0	6.1	0.0	0.0
MCM4	335.1	395.3	301.5	461.9	497.6	330.0
MCM5	426.1	709.5	476.2	1044.1	1313.0	634.0
MCM6	123.1	183.0	74.1	302.8	351.8	167.3
MCM7	37.2	101.4	85.9	369.6	187.5	79.7
MCM8	2.5	1.4	0.0	0.0	1.9	0.0
MCM9	1.4	1.4	3.3	2.9	1.6	1.2
MCMDC1	0.3	0.0	0.0	0.0	0.4	0.0
MCOLN1	11.3	21.0	18.2	8.5	18.5	13.3
MCOLN2	25.3	36.3	34.2	36.4	19.7	66.5
MCOLN3	6.2	14.3	13.1	11.9	8.7	43.9
MCPH1	20.9	28.1	19.8	35.4	29.2	18.4
MCPR	5.3	0.0	1.9	2.2	0.0	0.9
MCPT1	0.0	0.0	0.0	0.0	0.8	0.0
MCPT2	0.1	0.0	0.0	1.1	0.7	0.9
MCPT4	0.0	0.0	0.0	2.8	0.0	2.7
MCPT6	0.0	0.0	0.0	0.0	0.0	0.0
MCPT8	3.1	17.2	9.4	6.4	264.4	19.8
MCPT9	0.0	1.2	0.0	0.0	1.7	0.0
MCRS1	56.9	55.9	35.5	26.1	46.7	43.6
MCTP1	0.0	0.6	0.0	0.9	2.3	0.0
MCTP2	0.3	0.6	1.5	0.0	1.9	1.2
MCTS1	298.7	537.2	418.5	599.6	733.9	671.6
MCTS2	0.0	0.0	0.0	0.6	0.5	0.0
MDC1	0.0	2.4	0.0	0.8	0.0	1.3
MDFI	6.0	5.2	2.5	3.6	10.9	2.2
MDFIC	12.0	12.1	23.7	20.9	17.7	21.5
MDGA1	2.5	0.5	3.8	4.0	12.5	5.0
MDGA2	0.0	0.0	0.0	0.0	0.0	0.0
MDH1	11.9	9.9	3.5	17.2	7.9	11.0
MDH1B	0.0	0.0	0.0	0.0	0.0	1.4
MDH2	401.8	410.0	378.0	480.4	512.8	429.2
MDK	10.3	9.5	14.2	4.1	12.7	5.9
MDM1	7.6	6.5	6.0	2.0	3.7	2.3
MDM2	355.3	317.0	424.5	283.1	300.8	293.3
MDM4	6.0	4.2	4.6	4.0	3.1	5.5
MDN1	47.2	42.3	52.4	31.3	22.5	58.8
MDS1	0.0	0.0	0.0	0.0	0.0	0.0
ME2	117.7	118.8	161.9	112.5	143.7	182.2
ME3	0.0	2.1	0.0	3.9	0.0	0.0
MEA1	20.0	17.6	16.8	18.2	14.9	30.1
MECP2	36.1	38.1	45.3	36.2	53.8	43.6
MECR	38.9	30.8	42.6	41.1	30.4	48.6
MED1	33.4	31.7	22.3	17.9	22.0	28.8
MED10	293.1	165.3	117.4	114.0	139.0	143.7
MED11	239.3	224.6	97.9	72.5	143.7	143.7
MED12	200.2	219.3	373.4	217.4	140.0	209.8
MED13	3.2	2.6	2.2	0.6	0.0	3.3
MED14	40.1	23.6	15.4	19.3	17.3	17.0
MED15	101.2	103.3	148.3	91.5	92.4	92.6
MED16	193.0	156.9	139.2	95.1	181.2	145.1
MED17	2.4	0.0	4.7	0.0	0.7	0.2
MED18	42.8	50.8	52.1	50.9	82.3	48.7
MED19	12.0	13.8	14.4	23.6	24.1	23.9
MED21	264.4	190.0	153.4	201.3	196.7	152.6
MED22	10.0	12.9	8.6	14.8	23.4	8.0
MED23	141.2	99.2	155.6	133.7	174.4	159.8
MED24	192.5	262.7	300.7	256.5	295.7	279.9
MED25	117.8	116.0	119.4	143.4	102.5	88.4
MED26	193.3	101.1	103.5	115.9	92.2	119.6
MED27	140.5	165.2	114.2	92.2	111.9	113.5
MED28	367.4	307.5	333.6	380.5	376.8	397.1
MED29	4.2	9.7	0.8	0.0	2.3	3.6
MED30	366.3	458.9	344.7	482.7	506.2	534.0
MED31	102.8	97.2	64.8	52.4	94.5	55.5
MED4	210.8	137.1	102.1	84.7	126.7	89.4
MED6	278.1	234.1	168.9	123.6	159.0	161.0
MED7	230.9	265.4	221.3	192.2	102.8	112.6
MED8	142.3	155.3	158.4	184.2	264.4	175.8
MED9	19.6	23.2	12.9	37.1	19.2	22.3
MEF2B	9.3	19.8	16.6	38.7	7.7	17.2
MEF2C	726.0	584.5	886.8	148.3	111.8	351.9
MEF2D	1.4	1.3	1.0	0.5	3.8	5.7
MEFV	16.0	14.9	8.1	2.4	99.9	16.5
MEG3	0.0	0.0	0.0	0.0	2.3	0.7
MEGF10	0.0	0.0	2.4	0.1	3.6	0.0
MEGF11	0.0	0.1	0.0	0.0	0.0	0.0
MEGF6	0.8	0.0	3.2	3.9	0.0	0.0
MEGF8	8.1	13.1	22.5	23.3	23.1	9.0
MEGF9	33.5	43.4	18.4	36.6	131.9	25.9
MEI1	1.8	1.0	0.7	0.0	0.0	0.5
MEIS1	9.2	12.7	15.3	29.7	67.5	16.8
MEIS2	0.0	1.0	0.0	2.2	1.2	0.6
MEIS3	2.5	5.4	5.2	5.3	0.0	0.3
MELA	1326.1	1332.0	1841.1	1115.3	1242.2	2160.6
MELK	0.5	3.6	1.0	1.8	14.8	4.4
MEMO1	16.2	32.1	17.0	40.1	34.9	25.3
MEN1	27.3	34.0	41.6	49.0	48.3	53.0
MEOX1	0.0	1.6	0.0	0.0	0.0	0.0
MEOX2	0.0	0.0	0.3	0.0	0.0	2.0
MEP1A	0.0	0.0	0.6	0.0	0.0	0.0
MEP1B	2.6	5.8	3.3	4.7	3.4	1.0
MEPCE	21.5	15.7	16.4	14.7	18.4	12.2
MEPE	4.2	2.9	0.0	1.2	5.8	5.9
MERG	2.4	5.5	1.1	3.8	1.8	1.1
MERTK	1.6	2.1	3.4	34.7	0.7	10.4
MESDC1	82.3	38.2	45.6	19.0	16.2	22.0
MESDC2	0.0	0.0	0.4	0.0	2.1	5.2
MESP1	0.0	0.0	0.0	0.0	0.0	0.0
MESP2	0.0	0.0	0.0	3.2	0.2	0.0
MEST	0.2	0.4	0.7	0.0	0.0	0.0
MET	0.0	0.0	0.0	0.0	0.0	0.0
METAP1	214.8	161.0	219.3	225.1	213.6	197.1
METAP2	6.1	11.6	4.5	13.1	6.5	8.9
METAPL1	16.8	8.5	16.9	11.8	10.7	14.7
METRN	102.6	132.0	136.8	215.2	225.7	104.9
METRNL	27.5	16.8	12.2	2.6	21.1	8.4
METT11D1	117.0	88.9	195.7	62.1	53.8	135.4
METT5D1	1.0	0.0	2.7	0.0	0.6	0.0
METTL1	62.0	41.3	40.1	46.4	29.1	47.4
METTL10	0.0	0.0	1.2	0.0	0.0	0.3
METTL11A	18.7	11.0	9.3	13.3	12.7	11.5
METTL2	148.3	105.2	100.2	97.3	65.4	103.6
METTL3	152.5	138.5	214.1	155.8	160.2	221.7
METTL4	4.5	8.9	7.4	22.2	14.6	22.8
METTL5	0.0	2.3	0.0	0.1	1.2	0.3
METTL6	9.1	13.8	20.7	29.4	41.4	27.6
METTL7A1	1.1	1.1	0.0	0.0	0.8	0.6
METTL7A2	0.0	0.0	0.0	0.0	0.0	1.0
METTL7B	3.7	2.9	7.7	2.3	2.9	2.9
METTL8	12.4	7.4	11.4	6.6	11.2	11.8
METTL9	66.5	103.4	44.2	179.1	356.0	110.6
MEX3A	5.4	3.3	4.4	5.8	7.5	4.2
MEX3C	5.8	0.7	1.5	0.0	0.0	2.1
MFAP1A	0.0	0.0	0.4	0.0	2.3	0.0
MFAP1B	253.1	267.6	206.0	233.6	201.3	224.3
MFAP2	2.6	1.1	3.0	2.3	2.8	0.0
MFAP3	108.8	113.4	102.0	89.1	214.8	135.3
MFAP3L	0.0	0.4	0.0	0.0	0.0	0.0
MFAP4	1.5	0.0	0.0	0.0	1.1	0.0
MFAP5	0.0	0.0	0.0	0.0	0.0	0.0
MFF	13.1	6.0	2.3	30.4	29.3	29.7
MFGE8	257.6	223.0	270.9	111.8	251.2	183.6
MFHAS1	52.3	46.4	62.6	18.0	13.0	55.3
