	Mp0000313 Abnormal Cell Death 	Mp0000350 Abnormal Cell Proliferation 	Mp0000689 Abnormal Spleen Morphology 	Mp0000703 Abnormal Thymus Morphology 	Mp0000716 Abnormal Immune System 	Mp0000858 Altered Metastatic Potential 	Mp0001533 Abnormal Skeleton Physiology 	Mp0001800 Abnormal Humoral Immune 	Mp0001819 Abnormal Immune Cell 	Mp0001835 Abnormal Antigen Presentation 	Mp0001845 Abnormal Inflammatory Respons 	Mp0001853 Heart Inflammation 	Mp0002019 Abnormal Tumor Incidence 	Mp0002080 Prenatal Lethality 	Mp0002083 Premature Death 	Mp0002086 Abnormal Extraembryonic Tissu 	Mp0002148 Abnormal Hypersensitivity Rea 	Mp0002398 Abnormal Bone Marrow 	Mp0002405 Respiratory System Inflammati 	Mp0002419 Abnormal Innate Immunity 	Mp0002420 Abnormal Adaptive Immunity 	Mp0002429 Abnormal Blood Cell 	Mp0002452 Abnormal Antigen Presenting 	Mp0002722 Abnormal Immune System 	Mp0002723 Abnormal Immune Serum 	Mp0002998 Abnormal Bone Remodeling 	Mp0003077 Abnormal Cell Cycle 	Mp0003111 Abnormal Nucleus Morphology 	Mp0003436 Decreased Susceptibility To 	Mp0003656 Abnormal Erythrocyte Physiolo 	Mp0003795 Abnormal Bone Structure 	Mp0005000 Abnormal Immune Tolerance 	Mp0005025 Abnormal Response To 	Mp0005390 Skeleton Phenotype 	Mp0005636 Abnormal Mineral Homeostasis 	Mp0008469 Abnormal Protein Level 	Mp0009763 Increased Sensitivity To 	Mp0009785 Altered Susceptibility To 	Mp0009931 Abnormal Skin Appearance 
Mp0002420 Abnormal Adaptive Immunity 	0.95328884652	0.918431372549	0.855092276145	0.832138590203	0.959713518353	0.879310344828	0.914958238421	0.947754353804	0.810319767442	0.990927419355	0.960077896787	0.929657794677	0.985829959514	0.85328836425	0.976377952756	0.885014836795	0.92420327304	0.862885462555	0.912607449857	0.862837548221	0.0	0.913117546848	0.928125	0.964187327824	0.993123772102	0.816196057539	0.910628019324	0.971830985915	0.888712241653	0.932467532468	0.803347280335	0.887925696594	0.979651162791	0.821152973218	0.861802100608	0.981225296443	0.845315904139	0.89806547619	0.925125989921
Mp0002429 Abnormal Blood Cell 	0.976635514019	0.972857142857	0.957905544148	0.919933277731	0.987903225806	0.956433637285	0.966397849462	0.786069651741	0.929901423877	1.0	0.903225806452	0.984749455338	0.99706744868	0.911353032659	0.967391304348	0.797432239658	0.942549371634	0.95070948469	0.891472868217	0.895844875346	0.913117546848	0.0	0.972582972583	0.969162995595	0.98891966759	0.932330827068	0.925581395349	0.993055555556	0.959097320169	0.948623853211	0.921348314607	0.957798165138	0.987113402062	0.926869806094	0.9496996997	0.991847826087	0.872727272727	0.971177944862	0.977914110429
Mp0002452 Abnormal Antigen Presenting 	0.954990215264	0.86013986014	0.807939914163	0.852310231023	0.984719864177	0.815983175605	0.80027739251	0.982578397213	0.8740818468	0.995402298851	0.992	0.90234375	0.986111111111	0.932975871314	0.965217391304	0.95782463929	0.9296875	0.819968553459	0.979679144385	0.981472452462	0.928125	0.972582972583	0.0	0.789699570815	0.870098039216	0.846207376479	0.96320630749	0.900621118012	0.950943396226	0.822183098592	0.877192982456	0.786206896552	0.939262472885	0.874930824571	0.814432989691	0.923963133641	0.936787564767	0.883069427527	0.875302663438
Mp0002722 Abnormal Immune System 	0.858267716535	0.882583170254	0.9375	0.962929475588	0.985673352436	0.925700365408	0.931153184165	0.991097922849	0.965043695381	1.0	0.992248062016	0.943521594684	0.984293193717	0.96435272045	0.968888888889	0.980938416422	0.942446043165	0.93654822335	0.981348637016	0.98347107438	0.964187327824	0.969162995595	0.789699570815	0.0	0.652173913043	0.946348733234	0.969754253308	0.952554744526	0.884688090737	0.414179104478	0.961098398169	0.931891891892	0.96186440678	0.956242707118	0.937128292268	0.967592592593	0.968337730871	0.930047694754	0.946153846154
Mp0002723 Abnormal Immune Serum 	0.978142076503	0.945945945946	0.968960863698	0.979472140762	1.0	0.966843501326	0.953535353535	0.991489361702	0.986033519553	1.0	0.99358974359	0.961352657005	0.988888888889	0.981859410431	0.968	0.98976109215	0.96	0.970561998216	0.995033112583	0.995965417867	0.993123772102	0.98891966759	0.870098039216	0.652173913043	0.0	0.977379095164	0.990867579909	0.948571428571	0.983298538622	0.798507462687	0.986146095718	0.963700234192	0.955882352941	0.982498491249	0.96947935368	0.983050847458	0.985052316891	0.971119133574	0.966252220249
Mp0002998 Abnormal Bone Remodeling 	0.93374422188	0.81914893617	0.800611620795	0.430672268908	0.971590909091	0.653950953678	0.772369362921	0.957848837209	0.704177897574	0.992957746479	0.975794251135	0.91217257319	0.990595611285	0.785239852399	0.972889233153	0.898399014778	0.919774806474	0.528785982478	0.935064935065	0.90212924916	0.816196057539	0.932330827068	0.846207376479	0.946348733234	0.977379095164	0.0	0.925245901639	0.936055469954	0.881063122924	0.932536893886	0.668882978723	0.650680492547	0.957976653696	0.247416413374	0.526084223759	0.956418383518	0.865779927449	0.848859934853	0.823412698413
Mp0003077 Abnormal Cell Cycle 	0.972055888224	0.955380577428	0.942884801549	0.904153354633	0.941499085923	0.935576923077	0.943820224719	0.96897810219	0.900938477581	0.98296836983	0.974630021142	0.961759082218	0.99520383693	0.929752066116	0.977628635347	0.922716627635	0.956112852665	0.940671908506	0.902582159624	0.908227848101	0.910628019324	0.925581395349	0.96320630749	0.969754253308	0.990867579909	0.925245901639	0.0	0.976	0.944300518135	0.944805194805	0.895711500975	0.939685314685	0.989247311828	0.903050108932	0.940416367552	0.990990990991	0.926439232409	0.936018957346	0.956422018349
Mp0003111 Abnormal Nucleus Morphology 	0.942386831276	0.904276985743	0.925257731959	0.942070275404	0.98738170347	0.910141206675	0.913123844732	0.996732026144	0.962190352021	1.0	1.0	0.916349809886	0.967948717949	0.970238095238	0.974226804124	0.983102918587	0.95652173913	0.91296625222	0.99255952381	0.993892282066	0.971830985915	0.993055555556	0.900621118012	0.952554744526	0.948571428571	0.936055469954	0.976	0.0	0.968518518519	0.960212201592	0.953349282297	0.904816513761	0.94	0.951015531661	0.915405164737	0.926553672316	0.97397260274	0.926174496644	0.911519198664
Mp0003436 Decreased Susceptibility To 	0.741573033708	0.875668449198	0.9243140965	0.91583779648	0.925989672978	0.890173410405	0.946808510638	0.986710963455	0.908639523337	0.995661605206	0.974854932302	0.961130742049	0.989106753813	0.928292046936	0.983805668016	0.95788336933	0.948224852071	0.911617961511	0.956336528222	0.951412989588	0.888712241653	0.959097320169	0.950943396226	0.884688090737	0.983298538622	0.881063122924	0.944300518135	0.968518518519	0.0	0.83779264214	0.911275415896	0.924786324786	0.976143141153	0.896570203644	0.912794853467	0.979296066253	0.941649899396	0.912341407151	0.947078280044
Mp0003656 Abnormal Erythrocyte Physiolo 	0.85838150289	0.888157894737	0.924778761062	0.947899159664	0.970852017937	0.922489082969	0.941690962099	0.988636363636	0.947012401353	0.996632996633	0.991712707182	0.94776119403	0.986440677966	0.935170178282	0.975683890578	0.965071151358	0.952015355086	0.930086410055	0.960459183673	0.958889482114	0.932467532468	0.948623853211	0.822183098592	0.414179104478	0.798507462687	0.932536893886	0.944805194805	0.960212201592	0.83779264214	0.0	0.945889698231	0.935735150925	0.970588235294	0.94012311136	0.930599369085	0.978193146417	0.960140679953	0.923928077455	0.948069241012
Mp0003795 Abnormal Bone Structure 	0.964622641509	0.883429672447	0.817073170732	0.637077769049	0.94748603352	0.787128712871	0.815866797258	0.959641255605	0.37686139748	0.973718791064	0.964590964591	0.89512195122	0.984415584416	0.621523579202	0.965952080706	0.888214904679	0.917981072555	0.755060728745	0.913807531381	0.903065825068	0.803347280335	0.921348314607	0.877192982456	0.961098398169	0.986146095718	0.668882978723	0.895711500975	0.953349282297	0.911275415896	0.945889698231	0.0	0.799695354151	0.966501240695	0.695389681668	0.755751014885	0.966878980892	0.860232945092	0.879111111111	0.888209606987
Mp0005000 Abnormal Immune Tolerance 	0.957562568009	0.772051536174	0.733498349835	0.694244604317	0.976976976977	0.498062015504	0.543502824859	0.976649746193	0.789814066289	0.995332555426	0.990206746464	0.893378226712	0.982290436836	0.886861313869	0.969072164948	0.923380726698	0.908464566929	0.485444531865	0.956060606061	0.950730688935	0.887925696594	0.957798165138	0.786206896552	0.931891891892	0.963700234192	0.650680492547	0.939685314685	0.904816513761	0.924786324786	0.935735150925	0.799695354151	0.0	0.929660023447	0.712938711367	0.488976377953	0.943060498221	0.90977443609	0.704347826087	0.762122598353
Mp0005025 Abnormal Response To 	0.956310679612	0.905077262693	0.931174089069	0.9662487946	0.989130434783	0.935356200528	0.941860465116	0.992395437262	0.967123287671	1.0	0.994565217391	0.94347826087	0.974137931034	0.969762419006	0.967105263158	0.980263157895	0.936046511628	0.944642857143	0.996840442338	0.996029495179	0.979651162791	0.987113402062	0.939262472885	0.96186440678	0.955882352941	0.957976653696	0.989247311828	0.94	0.976143141153	0.970588235294	0.966501240695	0.929660023447	0.0	0.966847498493	0.945291479821	0.957746478873	0.967883211679	0.908759124088	0.84030418251
Mp0005390 Skeleton Phenotype 	0.948595337717	0.851351351351	0.825540472599	0.428828828829	0.958880639634	0.721587819467	0.819209039548	0.957949308756	0.721202003339	0.981617647059	0.975710900474	0.930580490724	0.992121212121	0.826364692218	0.978378378378	0.888546481767	0.931169557918	0.60989291178	0.907769423559	0.864290610007	0.821152973218	0.926869806094	0.874930824571	0.956242707118	0.982498491249	0.247416413374	0.903050108932	0.951015531661	0.896570203644	0.94012311136	0.695389681668	0.712938711367	0.966847498493	0.0	0.609406952965	0.965137614679	0.875624375624	0.8576	0.855472901169
Mp0005636 Abnormal Mineral Homeostasis 	0.936411149826	0.655326768129	0.766803840878	0.599730458221	0.976910828025	0.37106918239	0.639789658195	0.967506092608	0.763176387913	0.994633273703	0.985519591141	0.909170305677	0.985572587917	0.854826254826	0.968971631206	0.91237458194	0.912836767036	0.0323741007194	0.952776005105	0.931074316519	0.861802100608	0.9496996997	0.814432989691	0.937128292268	0.96947935368	0.526084223759	0.940416367552	0.915405164737	0.912794853467	0.930599369085	0.755751014885	0.488976377953	0.945291479821	0.609406952965	0.0	0.946118721461	0.894838709677	0.820588235294	0.772968868641
Mp0008469 Abnormal Protein Level 	0.962365591398	0.934831460674	0.959459459459	0.953140578265	0.988188976378	0.926128590971	0.926229508197	0.991701244813	0.969014084507	1.0	1.0	0.962441314554	0.978947368421	0.963553530752	0.992537313433	0.986440677966	0.97619047619	0.945454545455	0.995081967213	0.997131382674	0.981225296443	0.991847826087	0.923963133641	0.967592592593	0.983050847458	0.956418383518	0.990990990991	0.926553672316	0.979296066253	0.978193146417	0.966878980892	0.943060498221	0.957746478873	0.965137614679	0.946118721461	0.0	0.985185185185	0.971428571429	0.940540540541
Mp0009763 Increased Sensitivity To 	0.971272229822	0.936148300721	0.904369332234	0.861288039632	0.977443609023	0.904645476773	0.925595238095	0.910326086957	0.876414273281	0.996937212864	0.938235294118	0.950201884253	0.989214175655	0.896626768226	0.920684292379	0.883204633205	0.913357400722	0.895244215938	0.928702010969	0.912305516266	0.845315904139	0.872727272727	0.936787564767	0.968337730871	0.985052316891	0.865779927449	0.926439232409	0.97397260274	0.941649899396	0.960140679953	0.860232945092	0.90977443609	0.967883211679	0.875624375624	0.894838709677	0.985185185185	0.0	0.928234183192	0.923004694836
Mp0009785 Altered Susceptibility To 	0.942434210526	0.795306388527	0.793273986152	0.873873873874	0.925531914894	0.81135707411	0.868757259001	0.986842105263	0.868899521531	0.987012987013	0.995081967213	0.915993537964	0.97947761194	0.92899408284	0.968253968254	0.927328556807	0.894150417827	0.818782098313	0.9557956778	0.954329210276	0.89806547619	0.971177944862	0.883069427527	0.930047694754	0.971119133574	0.848859934853	0.936018957346	0.926174496644	0.912341407151	0.923928077455	0.879111111111	0.704347826087	0.908759124088	0.8576	0.820588235294	0.971428571429	0.928234183192	0.0	0.831081081081
Mp0009931 Abnormal Skin Appearance 	0.966876971609	0.766798418972	0.827783063749	0.852807283763	0.980141843972	0.78814382896	0.841363102233	0.982683982684	0.901563937443	0.992779783394	0.990306946688	0.900161030596	0.983636363636	0.923708920188	0.967128027682	0.946322067594	0.883656509695	0.770280515542	0.972275334608	0.974477958237	0.925125989921	0.977914110429	0.875302663438	0.946153846154	0.966252220249	0.823412698413	0.956422018349	0.911519198664	0.947078280044	0.948069241012	0.888209606987	0.762122598353	0.84030418251	0.855472901169	0.772968868641	0.940540540541	0.923004694836	0.831081081081	0.0
